0	0	最終日の登校を終えた彼女は、夏の間は自由になっていた。最後の登校日を終えた彼女は何をしたのでしょうか？	彼女は学校に入学した
1	0	ザルコとテイシェイラはマデイラの共同知事に任命され、ペレストレロはポルトサントを授与されました。ペレストレロがポルトサントを授与された後はどうなりましたか？	投資家はブラックマンデーの2周年を祝いました
2	0	ザルコとテイシェイラはマデイラの共同知事に任命され、ペレストレロはポルトサントを授与されました。ペレストレロがポルトサントを授与された後はどうなりましたか？	彼は7秒休みました
3	0	デュラーの父は1502年に亡くなり、母は1513年に亡くなりました。デュラーの父が死んだ後、何があったのでしょうか？	新しい仕事に就いた
4	1	家庭犬のミカがマーシャからジョーイを奪って食べようとしたことが何度かありました。ミカがジョーイを食べようとした後はどうなるのでしょうか？	ミカはトラブルに巻き込まれる
5	0	アーサーの喉から発せられる音の物理的な波の前に、アランが身を縮めたような重いイントネーションで最後の言葉を話した。アーサーはアランと話した後、何をしたんですか？	再び彼に話しかけた
6	1	CIAは現在、9.11以前のアルカイダの活動を維持するために年間約3000万ドルの費用がかかっており、この資金はほとんど寄付によって集められていたと推定しています。9.11後、アルカイダの財政はどうなったのでしょうか？	枯渇しました
7	0	怪しい融資制度で彼女を利用した人たちの中には刑務所に送られた人もいました。彼らが刑務所に入れられた後、何があったのでしょうか？	彼らは店に行った
8	0	怪しい融資制度で彼女を利用した人たちの中には刑務所に送られた人もいました。彼らが刑務所に入れられた後、何があったのでしょうか？	彼らはそこで数秒を過ごしました
9	0	彼女はランキプールでかつての恋人トム・ランサムと知り合い、今はアルコール依存症になっている。トムとの交際を再開した後、彼女に何が起こるのか？	彼女もアルコール依存症になってしまう
10	1	トミーとスージー（兄妹）は、ある日の午後、ママとパパのヤンとディーンと一緒に遊び場に行きました。公園を出た後、彼らはどこへ行ったのでしょうか？	家
11	1	このようにして、最も有力な一族は、日本の封建制の領地となる地域を自分たちのために切り開いたのである。これらの地域が切り開かれた後、何が起こったのでしょうか？	日本の封建主義が起こった
12	0	このようにして、最も有力な一族は、日本の封建制の領地となる地域を自分たちのために切り開いたのである。これらの地域が切り開かれた後、何が起こったのでしょうか？	日本人は日本人の経営者を主張する
13	1	夏の豪雨の後、濡れた道路から水蒸気が立ち上るのを見たことがある人は多いでしょう。暴風雨の後、道路はどうなったのでしょうか？	濡れたまま
14	1	これはコインとしては驚異的な新記録だそうです。この記録が確立された後、何が起こったのでしょうか？	コインは、稀少品になりました
15	0	私が長年扱ってきた問題は、人々が家や医療、仕事、家族などの生活の基本を維持できるように支援する側にあった。誰かの家を維持する手助けをした後は何が起こるのでしょうか？	平均寿命は3.16年です。
16	0	私が長年扱ってきた問題は、人々が家や医療、仕事、家族などの生活の基本を維持できるように支援する側にあった。誰かの家を維持する手助けをした後は何が起こるのでしょうか？	それは、人生の暗黒面を明らかにしました。
17	1	次の日の夜、彼女は寿司、刺身、殻付きの牡蠣、水耕栽培のベッドから摘み取ったばかりの地球人の野菜が入った、きらびやかなストップボックスの山を持って到着しました。彼女が到着した後、何が起こったのでしょうか？	彼女を迎えたのは
18	0	次の日の夜、彼女は寿司、刺身、殻付きの牡蠣、水耕栽培のベッドから摘み取ったばかりの地球人の野菜が入った、きらびやかなストップボックスの山を持って到着しました。彼女が到着した後、何が起こったのでしょうか？	彼女は荷物を投げ捨てました
19	1	サフティはエスケス卿にエドウィナへの愛を認め、エスケス卿はこの善良な男の窮地に同情するようになりました。エドウィナに恋をした後、サフティは何をしましたか？	エスケス卿に認めた
20	1	彼はまた彼のところに来ることを約束します。彼が彼のところに来た後に何が起こるのでしょうか？	彼らは話をする
21	1	夜な夜な街を徘徊する男を題材にしている夜の街を徘徊していたことが発覚した後、何が起こるのか？	警察から事情聴取を受ける
22	0	夜な夜な街を徘徊する男を題材にしている夜の街を徘徊していたことが発覚した後、何が起こるのか？	お弁当を食べる
