0	0	ランサムは彼女だけでなく、彼への愛を宣言した若いファーン・サイモンの世話をしています。ランサムとファーンはどのくらいの頻度で話をしているのでしょうか？	1世紀ごとに
1	0	彼はアルカイダのカンダハール空港からの避難を命じ、まずカブール近郊の砂漠地帯に移動し、次にカウストとジャララバードに移動し、最終的にはカンダハールに戻ってきました。彼は旅の間にどれくらいの頻度でカウストに行ったのでしょうか？	1世紀ごとに
2	0	ジョンソンは、カリフォルニア州第二地方控訴裁判所の判事です。ジョンソン氏は週に何回法廷に出廷していますか？	45回
3	0	アッタとオマリはポートランドからボストンのローガン国際空港に向かう午前6時の便に乗り込んだ。彼らは月に何回飛行機に乗っているのだろうか？	555.56回
4	0	殷王朝は、一つの政府の下に一つの中国国家という概念を生み出した。殷王朝はどのくらいの頻度で統治者を交代させたのでしょうか？	数年ごとに
5	0	殷王朝は、一つの政府の下に一つの中国国家という概念を生み出した。殷王朝はどのくらいの頻度で統治者を交代させたのでしょうか？	5年ごとに
6	0	ザルコとテイシェイラはマデイラの共同知事に任命され、ペレストレロはポルトサントを授与されました。共同知事はどのくらいの頻度で任命されますか？	20週間ごと
7	0	ザルコとテイシェイラはマデイラの共同知事に任命され、ペレストレロはポルトサントを授与されました。共同知事はどのくらいの頻度で任命されますか？	20秒ごと
8	0	英国は、ハプスブルク家の原告の名でジブラルタルを押収し、戦争が終わったときにそれを保持しました。スペインとイギリスは領土をめぐって何回戦いましたか？	60回
9	0	英国は、ハプスブルク家の原告の名でジブラルタルを押収し、戦争が終わったときにそれを保持しました。スペインとイギリスは領土をめぐって何回戦いましたか？	彼らは39回戦いました
10	0	デュラーの父は1502年に亡くなり、母は1513年に亡くなりました。デュラーはどのくらいの頻度で母親の墓参りをしていたのでしょうか？	一世紀に一度
11	0	そこでこれからは、マーシャはジョーイがいつでも安全に過ごせるように特別な配慮をすることにしました。ジョーイはどのくらいの頻度で無事だったのでしょうか？	1秒に1回
12	0	そこでこれからは、マーシャはジョーイがいつでも安全に過ごせるように特別な配慮をすることにしました。ジョーイはどのくらいの頻度で無事だったのでしょうか？	一日に一回
13	0	そこでこれからは、マーシャはジョーイがいつでも安全に過ごせるように特別な配慮をすることにしました。ジョーイはどのくらいの頻度で無事だったのでしょうか？	時々
14	1	アーサーの喉から発せられる音の物理的な波の前に、アランが身を縮めたような重いイントネーションで最後の言葉を話した。アーサーはどれくらいの頻度でアランと話しているのだろうか？	毎日
15	0	アーサーの喉から発せられる音の物理的な波の前に、アランが身を縮めたような重いイントネーションで最後の言葉を話した。アーサーはどれくらいの頻度でアランと話しているのだろうか？	毎分
16	0	しかし、最近では、アブダロニムスの死よりも早い時期のものである可能性が示唆されています。アブダロニムスはどのくらいの頻度で死んだのでしょうか？	数年おき
17	0	しかし、最近では、アブダロニムスの死よりも早い時期のものである可能性が示唆されています。アブダロニムスはどのくらいの頻度で死んだのでしょうか？	数ヶ月おき
18	0	1930年代の欧州の戦後不況による後退は、重工業を機械製造、冶金、化学分野へと多角化させることで、努力を重ねるきっかけとなった。後退はどのくらいの頻度で起こるのでしょうか？	毎秒
19	0	1930年代の欧州の戦後不況による後退は、重工業を機械製造、冶金、化学分野へと多角化させることで、努力を重ねるきっかけとなった。後退はどのくらいの頻度で起こるのでしょうか？	毎週
20	0	CIAは現在、9.11以前のアルカイダの活動を維持するために年間約3000万ドルの費用がかかっており、この資金のほとんどは寄付によって集められていたと推定しています。9.11以前、アルカイダはどのくらいの頻度で寄付を受けていたのでしょうか？	1日に25回
21	0	怪しい融資制度で彼女を利用した人たちの中には刑務所に送られた人もいました。彼らは以前にどのくらいの頻度で刑務所に入っていたのでしょうか？	ときどき
22	1	彼女はランキプールでかつての恋人トム・ランサムと知り合い、今はアルコール依存症になっている。トムの飲酒頻度は？	毎晩
23	0	彼女はランキプールでかつての恋人トム・ランサムと知り合い、今はアルコール依存症になっている。トムの飲酒頻度は？	毎世紀に数回
24	1	コロンビアでは、国を掌握して民主主義を破壊しようとしている麻薬資金のゲリラの中には、カストロが明らかに支援しているM-19が含まれています。ゲリラとコロンビア政府の間では、どのくらいの頻度で紛争が起きているのでしょうか？	毎週のように
25	1	トミーとスージー（兄妹）は、ある日の午後、ママとパパのヤンとディーンと一緒に遊び場に行きました。彼らはどのくらいの頻度で遊び場に行っていたのでしょうか？	週に3回
26	0	トミーとスージー（兄妹）は、ある日の午後、ママとパパのヤンとディーンと一緒に遊び場に行きました。彼らはどのくらいの頻度で遊び場に行っていたのでしょうか？	2回に1回
27	1	同組織ではすでに人員削減で何人かのスタッフを失い、いくつかのケースを辞退させていると彼女は言いました。組織はどのくらいの頻度でケースを辞退させているのですか？	数週間おき
28	0	このようにして、最も有力な一族は、日本の封建制の領地となる地域を自分たちのために切り開いたのである。一つの一族がこのようなことができるのは、どのくらいの頻度であろうか？	一日一回
29	0	このようにして、最も有力な一族は、日本の封建制の領地となる地域を自分たちのために切り開いたのである。一つの一族がこのようなことができるのは、どのくらいの頻度であろうか？	5.56倍
30	0	このようにして、最も有力な一族は、日本の封建制の領地となる地域を自分たちのために切り開いたのである。一つの一族がこのようなことができるのは、どのくらいの頻度であろうか？	二十週に一度
31	0	このようにして、最も有力な一族は、日本の封建制の領地となる地域を自分たちのために切り開いたのである。一つの一族がこのようなことができるのは、どのくらいの頻度であろうか？	16.67回
32	0	夏の豪雨の後、濡れた道路から水蒸気が立ち上るのを見たことがある人は多いでしょう。夏の雨はどのくらいの頻度で降るのでしょうか？	隔分
33	0	夏の豪雨の後、濡れた道路から水蒸気が立ち上るのを見たことがある人は多いでしょう。夏の雨はどのくらいの頻度で降るのでしょうか？	1分に1回
34	1	例えば、ケーキをオーブンに入れて、長すぎて放置してしまった場合はどうでしょうか？あなたはどのくらいの頻度でケーキをオーブンに入れっぱなしにしていますか？	数週間に一度
35	1	例えば、ケーキをオーブンに入れて、長すぎて放置してしまった場合はどうでしょうか？あなたはどのくらいの頻度でケーキをオーブンに入れっぱなしにしていますか？	数年に一度
